"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","MemoryCD4T","NaiveCD8T","MemoryCD8T","NKT","NKcells","Dendritic","CMonocytes","NMonocyte"
"FCN1",0.108468936055299,0.0833912332388519,2.22168164152401,0.0647414126296051,0.0773444855287002,0.0868750380602954,0.121367674186191,0.149623449494584,0.129651408739242,0.965935430849402,3.2081771514891,3.01535476058478
"RPS18",3.239385692242,4.19059633110111,4.05034710037853,4.48646931094405,4.33095683504127,4.62646610726065,4.09949270336629,3.77278775991026,3.48249593632548,4.08296857679945,3.37637711078477,3.41312168784937
"APLP2",0.133842593470908,0.687757397465899,1.24505481226768,0.157102655606686,0.22181304144336,0.18582443725348,0.223763967957618,0.329334216620615,0.55820331726397,0.683472746066824,1.97206770179778,1.35487490676521
"RGS2",0.33034527213818,0.486668374288177,1.11598331717296,0.251874183350922,0.287793877415324,0.292931802546176,0.500817230551661,0.269526199025664,0.458318220600806,1.25971797001937,2.19033099467672,1.2363659605434
"C5AR1",0.0374789038308605,0.0108122096982868,0.0549546548713056,0.00724360448643725,0.0105868171600425,0,0,0.0265440416723065,0.024312090013306,0.0217514969222985,1.2386608022342,1.1147833690965
"CD68",0.0736037357937116,0.129006679207427,0.913855066554377,0.0399045715347205,0.0302833994962401,0.0868750380602954,0.0405565265342139,0.0265440416723065,0.0362500144524165,0.990735078597189,1.78168987725185,2.1258443480518
"CTSS",0.781109039064812,1.20839557163353,2.24721529926627,0.531964190797245,0.670650976903588,0.477867925552708,0.719902096576894,0.869334478175683,0.948252461214238,1.86461746790814,3.46220831306054,3.44500200156214
"NAMPT",0.190657980878867,0.30655692009109,1.41729139458161,0.249611142722278,0.307116082968029,0.27585841279915,0.244950160560091,0.248767993169057,0.202586986980142,0.679022145534252,1.97986818261278,1.60948755330662
"ASAH1",0.583580314825958,0.804534645078929,0.885778576443981,0.385014563326352,0.473417556805467,0.27585841279915,0.476925709225663,0.756017678838652,0.777088129960582,0.747958768292612,1.70707780575079,1.89653837482781
"ATP6V0B",1.05808961725774,0.828556292494762,1.49624368579402,0.4361214917825,0.701026332195914,0.463697782781138,0.781939234134231,0.891638050753659,0.938672359621066,1.30842623027253,1.77015606897,1.60165196016292
"RHOB",0.892684724339585,0.839571928219542,1.13835049238528,0.261994963510799,0.145050672943107,0.519212014000453,0.346353075782033,0.412831231538058,0.547585075271862,0.865654299637479,1.51506752999366,1.76059702094534
"C19orf38",0.198517234531178,0.0699667172445778,0.600089963631234,0.0201513194158833,0.00707031682979302,0,0.0168994100880057,0.0133600915191788,0.00918643961715708,0.285063732269397,0.976414866624181,1.09800302466152
"TCF7",0.0189150251689126,0.32505312520815,0.224006136661558,1.5336257188529,1.28858566766366,1.39073006508211,0.913278595105752,0.902606025407862,0.277579084644869,0.234184316069099,0.131879090712437,0.124596358968724
"DUSP6",0.0374789038308605,0.129006679207427,0.561463274882266,0.066103315068874,0.100069740746535,0.0224365006217206,0.138472140461588,0.102193607783567,0.192487691555205,0.169501561161117,1.54986567121766,1.57049266252943
"PIK3IP1",0.0282400410802243,0.631559343321603,0.10704596671167,1.37778837823698,1.07174808575486,1.18448693953262,0.783052540429017,0.817254713856044,0.509507379900252,0.268389915459268,0.258488754652368,0.34895605023815
"EVI2B",0.964348833187406,1.40255792700033,1.28404523541269,0.726908653206819,1.05870595611976,0.657672203054001,0.825532154103167,0.981241906641781,0.846734131639076,1.35260003032496,1.93409685063923,1.54418042033615
"CYBB",0.206315201668781,0.569966802125241,0.785098913473222,0.0215752792866672,0.0105868171600425,0,0.0287979240746437,0.126189701021043,0.0392123599033854,0.917929913624288,1.95116037529038,1.75925404854053
"SLC7A7",0.108468936055299,0.112953259132922,0.647187152719168,0.00290374119972527,0.00589539672430819,0,0.0240554938719663,0.0265440416723065,0.024312090013306,0.314393421477634,1.26190267793643,1.40781629734374
"PSAP",0.872939904265345,0.673077340499373,2.00520476268783,0.422873345842869,0.452577605140722,0.292931802546176,0.553973444744222,0.697502793015022,0.837457265827269,1.49935158888027,2.7025393801695,3.03749490558747
"KLF10",0.337183410589943,0.202667097179893,0.981956118133725,0.138287828687917,0.147094364077018,0.258488451605513,0.239216479348509,0.114263629236829,0.184845716837969,0.595325981739803,1.2345330411096,0.758785201871156
"VASP",0.198517234531178,0.807771067724512,1.13229980074752,0.422873345842869,0.589429443549833,0.532622055902502,0.779708896278257,0.880548444344599,1.06615856197687,0.96426004705021,1.3011988614473,1.74640504383932
"AC004687.1",0.221731048289522,0.932179956373354,0.988984992987138,0.426676473760884,0.678481767651185,0.463697782781138,0.955360855861064,1.04944431729406,1.32671136446346,1.12927971920573,0.963842574624696,1.07961131752638
"MPEG1",0.0282400410802243,0.240411063470977,1.12008746471057,0.00724360448643725,0.0152563309035836,0.0224365006217206,0.0168994100880057,0.0133600915191788,0.00918643961715708,1.0181173565541,1.67142339822785,1.40686094480859
"VMP1",0.337183410589943,0.381052127739831,0.787957588892581,0.431410133775922,0.731644709536084,0.240811433435567,0.694697501045922,0.84073673713926,0.75708948039504,0.640370281143541,1.48318988934775,1.3598963381957
"CMTM6",0.323460051409073,0.807771067724512,0.928843633809452,0.356921901121702,0.619791144067556,0.240811433435567,0.544131198498413,0.599074887723514,0.689957251527127,0.974270503058595,1.16439832236879,1.2752712489146
"LYST",0.0736037357937116,0.643054453870086,0.787957588892581,0.13955322380994,0.242439640297987,0.166802367503943,0.48744855387388,0.530267179137569,0.516872938050149,0.560786906153628,1.24907614340741,1.54000586501438
"PLAUR",0.0189150251689126,0.0179559442606824,0.921377432062594,0.0215752792866672,0.045087994302825,0,0.0498648614635068,0.0650840113209944,0.0362500144524165,0.477051255953381,1.31449224787818,1.04590332554064
"CSF3R",0.0374789038308605,0.0390859609990558,0.750141787006546,0.0272509283594721,0.0394198276316162,0.0658535396397555,0.0521784696288399,0.102193607783567,0.0302988663820689,0.397549350178543,1.63456613226396,0.563676189970908
"MS4A7",0.00950223418992091,0.187762216683721,0.603528607573607,0.00724360448643725,0.0117562413449513,0,0.00727760228530733,0.052401677911621,0.024312090013306,0.463310181881223,1.24328425790374,2.24346001745951
"PLEKHO1",0.108468936055299,0.844256020330449,1.25405071073994,0.35284345523524,0.448810048979438,0.326228204230931,0.358334894010521,0.36730713033888,0.189946849993387,1.02445272376414,1.25550997552945,1.27636088925698
"CTSC",0.446801467280318,0.398231864017978,1.02340685470352,0.32906400094303,0.63431965638045,0.35845158727647,1.16725393125818,1.32367291992269,1.5225363908596,1.0722365659563,0.910243382678126,1.58898588828815
"IQGAP1",0.452890166502872,0.914912515449508,1.21384889019251,0.489210225596717,0.762457369736418,0.532622055902502,0.862176817068832,1.17330416113008,1.17921438694181,1.10772339126793,1.59497705619778,1.38853364967819
"SGK1",0.158588328235612,0.103196030707483,0.816103678166932,0.253003786050868,0.171298321323272,0.505619695772772,0.167718541366492,0.0650840113209944,0.0568044793664405,0.548156594089332,1.16236271641326,0.520559618353641
"FTL",2.56283903906029,3.17423625132134,4.02645034091762,2.85585329088935,2.80004817943643,2.82496614985855,2.8904619059605,2.85851281869514,2.92856471192583,3.63596488182909,4.90929022348907,5.42812716995623
