"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"LILRA5",0.0282400410802243,0,0.161910569110668,0.00290374119972527,0.00294522394837002,0.0041604415488515,0,0.0224365006217206,0,0,0.0152641814649167,0.29202530784074,0.290360878299617,0.923268105841576,1.17078666766339
"PRKCB",0.494503596167732,1.61098241225751,0.787957588892581,0.495430990936584,0.795352144434734,0.786880687882146,0.467163246975779,0.326228204230931,0.916204782701207,1.26088714291648,1.10051652195089,1.11942187816507,1.61404729800495,1.18144482016778,1.19588556396625
"POU2F2",0.377258440926257,1.53196228863405,1.19121976149918,0.326969248483157,0.467382827362283,0.472825075903608,0.676827477815915,0.449323957394543,0.344629607496809,0.36730713033888,0.36243803446513,1.25389399620518,0.361862166195884,1.48278659839134,1.84546807250421
"CIITA",0.00950223418992091,0.796397464048128,1.00059109764974,0.0144351162796491,0.0146401352294825,0.0144864416854371,0.0717928288677425,0,0.0544867373647147,0.0650840113209944,0.0769449533333723,0.820556360105306,0.550012340459324,0.52545524665067,0.485156362619873
"AIF1",0.125456040548863,0.181737499604988,2.45440103049397,0.805936187022942,0.165449595929583,0.2495902208573,0.105844583383926,1.09752105640586,0.169775200987362,0.29987726606989,0.0568044793664405,1.81816334546769,0.870152927353113,2.78343296045786,3.48167539570108
"TIMP1",0.198517234531178,0.193750853809603,1.37693283415628,0.452900923517508,0.938979590564473,0.934813773180103,0.17065528967938,0.449323957394543,0.597772539568475,0.553733088731987,0.671267173960943,1.13225620755656,0.147165613318008,1.39559549923081,1.91107576190469
"STAG3",0.0557044363786314,0.656300512752583,0.0369699171340964,0.0633776528823224,0.0573168584938184,0.062619033640377,0.138774898119981,0.258488451605513,0.0659488246138897,0.052401677911621,0.0740924589198067,0.09174819853303,0.0577543244841976,0.0234161855986997,0.0382845171835428
"NCF1",1.01058106345577,1.73661648652338,0.620546668310555,0.5972622297551,0.533533512692757,0.475420057189679,0.419387149792869,0.463697782781138,0.409736608988144,0.456372813890669,0.137725288364986,1.11015259155983,1.78082297953713,2.13809659814316,1.26099680729777
"HHEX",0,0.858178073817511,0.596639454605168,0.0115647147161989,0.0146401352294825,0.00830364551501567,0.0365405524020236,0,0.0287979240746437,0.0265440416723065,0.126945564145183,0.537771796567636,0.428590401999006,0.618365148439821,0.762433282532468
"ANPEP",0.0189150251689126,0.00722111347186383,0.151175818987632,0.00435245601591437,0.00294522394837002,0.0041604415488515,0,0,0.00727760228530733,0.052401677911621,0.0152641814649167,0.231115659609147,0.0388710890033012,0.90952804064571,0.381458618116683
"ZAP70",0.0736037357937116,0.27952582191469,0.00625734931329726,0.606818214552525,0.987383414814191,0.796326135910856,0.394614952240783,0.434740508396784,1.05426394085084,1.43852787111212,1.53917492801004,0.0333513014102579,0.147165613318008,0.0394872592239592,0.0751572148674116
"YBX3",0.295435081420304,1.39450395291374,1.17001670648023,0.125545022171735,0.0793543144928344,0.104793585568992,0.0365405524020236,0.633881976233702,0.314866834481766,0.205912357250124,0.105031117571241,0.892543734019726,0.129911490399119,1.43274720492373,1.08225950458364
"TOB1",0.125456040548863,0.319803311855855,0.890942375515157,0.829681627396187,1.17061423207706,0.916642250978648,1.13826008767632,0.96838462056505,0.984890774039038,0.670355041194082,0.469922182082681,0.922197859128084,0.765215335265395,0.836819059589755,0.480339793203837
"PAX5",0,0.691393984627392,0,0.00290374119972527,0,0,0,0,0,0.0133600915191788,0,0.300431554895878,0,0.003547574456498,0.00777505810949902
"CTSW",0.091188276002747,0.728800379110568,0.156557598337514,0.357938918864077,1.09559328022482,0.475420057189679,0.138774898119981,0.77927202206166,2.19429755633419,2.58825329378413,2.94407125053923,0.194568512674401,0.5151082753948,0.0383478515629846,0.0930959388402054
