"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"CD81",0.476977515947441,0.971732753436962,0.525967081599493,0.754180823236809,0.942364882585933,0.791568112129445,0.715746448388315,0.532777996359919,0.937461205665275,0.737039629671107,0.953406532619048,0.75339031321734,0.669521728273524,0.577770956215367,0.655066667363483
"CD93",0.309729999630451,0.150803059314637,0.498761002273095,0.152895874346764,0.226887266189169,0.204294930813552,0.1,0.1,0.186296806567337,0.276170070605212,0.242752556712244,0.424823796169273,0.327687454114439,0.844087455732034,0.617301397245897
"GZMK",0.1,0.304247192183107,0.1,0.306322583280639,1.32931197635618,0.855443847812414,0.939104015190617,0.1,1.40211198607387,1.24441721431045,0.466250928519429,0.236630695019075,0.369807574511106,0.247298818016971,0.322769675484455
"S100A12",0.523616022640525,0.233099939882909,0.534814014056169,0.192522886519027,0.191792390829158,0.219921695706575,0.1,0.1,0.233529367913712,0.313659333538272,0.197287235957363,0.498497909784042,0.468638600915533,1.10014722820352,0.567612693882793
"GABPB1-AS1",0.464587048704206,0.962560832885561,0.570446881813886,0.793810954312517,0.73817519159172,0.692088338270655,0.698676314262368,0.756668082413942,0.666469827872616,0.664673754358369,0.674181184134061,0.687688862843073,0.626085614945759,0.552505676482159,0.496678831724389
"CD300E",0.183975978854978,0.174587641541497,0.498228766799371,0.177818731553182,0.2188617689614,0.203810949396771,0.1,0.172521512777497,0.158275209668989,0.186355456026969,0.184038497646659,0.497452745636015,0.223379731025982,0.830414928271856,0.697665996572042
"CD99",0.560704940192599,0.912876636578369,0.577388031899743,0.815325321102069,0.964519173696348,0.860520171496964,0.896817717383412,0.605502658871274,0.976432060060031,0.650677101972049,0.927280093960788,0.776552800361869,0.627554331744089,0.855657183117232,0.584021715354004
"CST3",0.452655454971231,0.348912419386255,0.484027923998921,0.302096501718239,0.333739246322445,0.295851632862946,0.217708972373582,0.358701637010032,0.420112982045738,0.49549290887055,0.598631011435069,2.17761140965938,0.609264500986127,0.499175556521214,0.531524478862304
"REL",0.216866004196955,0.927983782709423,0.628905610663982,0.50065024453228,0.573966127243223,0.560107231292621,0.505164283849674,0.544728273551832,0.648183999985517,0.54047395962005,0.722487793049194,0.707694403820269,0.635028831887951,0.746389066289896,0.676740847343713
"CD247",0.305796856817724,0.573571444881027,0.180619137024855,0.882375267963671,0.929467633145982,0.822356751588103,0.699001688963907,0.653350997500489,0.962258039937555,0.820162576176907,0.812263460461268,0.356666079918107,0.492492282587893,0.257916676867189,0.273254996260443
